CODIGO;PRODUTO;PALLET;LASTRO;CAIXAS;UNIDADES
346;BRAHMA GUARANA LATA 350ML SIX-PACK BANDEJA C/4;;;;
347;SUKITA PET 1L CAIXA C/12;;;;
348;GUARANA BRAHMA PET 1L CAIXA C/12;;;;
349;GUARANA BRAHMA DIET PET 1L CAIXA C/12;;;;
350;LIMAO BRAHMA PET 1L CAIXA C/12;;;;
351;BRAHMA GUARANA LATA 350ML BANDEJA C/24;;;;
352;GUARANA BRAHMA LATA 350ML BANDEJA C/24;;;;
353;LIMAO BRAHMA LATA 350ML BANDEJA C/24;;;;
354;TONICA BRAHMA LATA 350ML BANDEJA C/24;;;;
355;PEPSI COLA LATA 350ML BANDEJA C/24;;;;
356;SUKITA LATA 350ML BANDEJA C/24;;;;
357;DIET PEPSI COLA LATA 350ML BANDEJA C/24;;;;
358;GUARANA BRAHMA DIET LATA 350ML BANDEJA C/24;;;;
359;BRAHMA GUARANA DIET LATA 350ML BANDEJA C/24;;;;
361;BRAHMA EXTRA LONG NECK 355ML SIX-PACK BANDEJA C/4;;;;
362;BRAHMA EXTRA LONG NECK 355ML BANDEJA C/24;;;;
363;BRAHMA EXTRA LONG NECK 355ML TWELVE-PACK BANDEJA C/2;;;;
365;BRAHMA LIGHT LONG NECK 355ML TWELVE-PACK;;;;
368;BRAHMA LIGHT LONG NECK 355ML TWELVE-PACK BANDEJA C/2;;;;
369;BRAHMA LIGHT LN 355 CX C/24;;;;
370;MALZBIER BRAHMA LONG NECK 355ML TWELVE-PACK;;;;
371;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BANDEJA C/4;;;;
372;MALZBIER BRAHMA LONG NECK 355ML BANDEJA C/24;;;;
373;MALZBIER BRAHMA LONG NECK 355ML TWELVE-PACK BANDEJA C/2;;;;
374;MALZBIER BRAHMA LN 355 CX C/24;;;;
375;SEVEN UP ONE WAY 250ML BANDEJA C/24;;;;
376;SEVEN UP BAG IN BOX 5L;;;;
377;SEVEN UP PRB 2L CAIXA C/8;;;;
378;SKOL LONG NECK 355ML TWELVE-PACK;;;;
379;LIMAO BRAHMA LATA 350ML TWELVE-PACK CARTAO;;;;
380;TONICA BRAHMA LATA 350ML TWELVE-PACK CARTAO;;;;
381;PEPSI COLA LATA 350ML TWELVE-PACK CARTAO;;;;
382;DIET PEPSI COLA LATA 350ML TWELVE-PACK CARTAO;;;;
383;SKOL LONG NECK 355ML TWELVE-PACK BANDEJA C/2;;;;
384;SKOL BOCK LONG NECK 355ML TWELVE-PACK;;;;
385;BRAHMA GUARANA POST-MIX 19L;;;;
386;SUKITA POST-MIX 19L;;;;
388;SKOL LN 355 CX C/24;;;;
389;SKOL LONG NECK 355ML BANDEJA C/24;;;;
390;SKOL LONG NECK 355ML SIX-PACK BANDEJA C/4;;;;
392;SKOL LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
393;SUKITA LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
394;SEVEN UP ONE WAY 350 ML CAIXA C/12;;;;
395;SUKITA DIET PET 1L CAIXA C/12;;;;
396;TEEM 1,25L;;;;
397;SUKITA DIET PET 2L CAIXA C/6;;;;
398;SEVEN UP PET 600ML CAIXA C/12;;;;
399;SUKITA DIET LATA 350ML BANDEJA C/24;;;;
402;PEPSI COLA 350ML;;;;
403;AGUA RAINHA PET 2L CAIXA C/8;;;;
405;SUKITA 1L ROLL-ON;;;;
406;LIMAO BRAHMA 1L ROLL-ON;;;;
407;GUARANA BRAHMA 1L ROLL-ON;;;;
412;PEPSI COLA 1,25L;;;;
413;GUARANA BRAHMA 1,25L;;;;
415;GUARANA BRAHMA ONE WAY 250ML BANDEJA C/24;;;;
416;SUKITA ONE WAY 250ML BANDEJA C/24;;;;
417;LIMAO BRAHMA ONE WAY 250ML BANDEJA C/24;;;;
418;PEPSI COLA ONE WAY 250ML BANDEJA C/24;;;;
419;DIET PEPSI COLA ONE WAY 250ML BANDEJA C/24;;;;
420;TEEM POST-MIX 10L;;;;
425;MILLER LN 355 CX C/24;;;;
426;GUARANA BRAHMA DIET ONE WAY 250ML BANDEJA C/24;;;;
435;SODA CRISTAL ONE WAY 250ML BANDEJA C/24;;;;
436;TONICA BRAHMA ONE WAY 250ML BANDEJA C/24;;;;
438;SUKITA 1,25L;;;;
441;MIRINDA LARANJA 1,25L;;;;
442;MILLER LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
443;MILLER LONG NECK 355ML TWELVE-PACK;;;;
446;DIET PEPSI COLA 1,25L;;;;
447;TEEM POST-MIX 19L;;;;
448;MARATHON LIMAO PET 473ML CAIXA C/24;;;;
449;AGUA RAINHA PRB 2L CAIXA C/9;;;;
450;MARATHON LIMAO PET 500ML CAIXA C/24;;;;
451;PEPSI COLA 500ML;;;;
452;MARATHON LIMAO LATA 350ML CAIXA C/24;;;;
454;GUARANA SPORT PET 2L CAIXA C/6;;;;
455;GUARANA SPORT 1L CROWN;;;;
456;GUARANA SPORT 290ML;;;;
457;LIMAO SPORT PET 2L CAIXA C/6;;;;
458;LIMAO SPORT 1L ROLL-ON;;;;
459;LIMAO SPORT 290ML;;;;
460;LARANJA SPORT PET 2L CAIXA C/6;;;;
461;MIRINDA LARANJA 200ML;;;;
462;LARANJA SPORT 1L ROLL-ON;;;;
463;MARATHON LIMAO LATA 350ML SIX-PACK BANDEJA C/4;;;;
464;PEPSI COLA 200ML;;;;
465;BRAHMA GUARANA PET 2L CAIXA C/6;;;;
466;LARANJA SPORT 290ML;;;;
467;DIET PEPSI COLA POST-MIX 19L;;;;
468;MARATHON MELANCIA PET 473ML CAIXA C/24;;;;
469;GUARANA FRATELLI 200ML;;;;
473;GUARANA BRAHMA DIET PET 2L CAIXA C/6;;;;
475;MARATHON MELANCIA PET 500ML CAIXA C/24;;;;
476;DIET PEPSI COLA PRB 2L CAIXA C/9;;;;
477;AGUA RAINHA 290ML;;;;
478;LIMAO FRATELLI 290ML;;;;
479;GUARANA FRATELLI 290ML;;;;
481;MARATHON MELANCIA LATA 350ML CAIXA C/24;;;;
487;MARATHON MELANCIA LATA 350ML SIX-PACK BANDEJA C/4;;;;
490;TEEM 1L ROLL-ON;;;;
491;MIRINDA LARANJA 1L ROLL-ON;;;;
494;PEPSI COLA 1L ROLL-ON;;;;
495;PEPSI COLA 1L CROWN;;;;
497;AGUA RAINHA 1L ROLL-ON;;;;
498;PEPSI COLA PET 600ML CAIXA C/12;;;;
499;GUARANA FRATELLI 1L ROLL-ON;;;;
500;TEEM BACK-PACK 10,5L;;;;
501;LIMAO BRAHMA PET 2L CAIXA C/6;;;;
502;GUARANA BRAHMA PET 2L CAIXA C/6;;;;
503;SUKITA PET 2L CAIXA C/6;;;;
504;PEPSI COLA PET 2L CAIXA C/6;;;;
505;DIET PEPSI COLA PET 2L CAIXA C/6;;;;
506;MARATHON TANGERINA PET 473ML CAIXA C/24;;;;
507;TEEM 500ML;;;;
508;MARATHON TANGERINA PET 500ML CAIXA C/24;;;;
509;BRAHMA GUARANA BACK-PACK 10,5L;;;;
510;BRAHMA GUARANA PRE-MIX 19L;;;;
511;BRAHMA GUARANA MIX POST-MIX 18L;;;;
512;BRAHMA GUARANA POST-MIX 10,5L;;;;
514;BRAHMA GUARANA DIET POST-MIX 10,5L;;;;
515;DIET SEVEN UP PRB 2L CAIXA C/9;;;;
516;MARATHON TANGERINA LATA 350ML CAIXA C/24;;;;
518;MARATHON TANGERINA LATA 350ML SIX-PACK BANDEJA C/4;;;;
520;AGUA MINERAL FRATELLI VITA C/GAS 500ML CAIXA C/24;;;;
521;DIET PEPSI COLA MIX POST-MIX 18L;;;;
522;DIET SEVEN UP LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
523;AGUA MINERAL FRATELLI VITA C/GAS PET 500ML CAIXA C/12;;;;
524;DIET SEVEN UP PET 600ML CAIXA C/24;;;;
